"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Both Sexes,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,
,,All Ages,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 years old and over,All Ages,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 years old and over,All Ages,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 years old and over
Total Population,PHILIPPINES /a,109033245,11069479,11270637,11091362,10482815,10024753,9229288,8171423,7221785,6528846,5598765,4964629,4137342,3375290,2398116,1578185,932231,958299,55306793,5714396,5842244,5721890,5360801,5115243,4715102,4218801,3713272,3358616,2866551,2505960,2059409,1633478,1114284,683843,366132,316771,53726452,5355083,5428393,5369472,5122014,4909510,4514186,3952622,3508513,3170230,2732214,2458669,2077933,1741812,1283832,894342,566099,641528
,..NATIONAL CAPITAL REGION (NCR),13484462,1279827,1237986,1177453,1118951,1284062,1298890,1174399,1017767,896189,749356,654711,532290,423765,281295,177144,88950,91427,6737870,660956,641893,608724,568734,645668,657512,602717,515328,450006,372182,317114,250731,193188,122647,72014,31870,26586,6746592,618871,596093,568729,550217,638394,641378,571682,502439,446183,377174,337597,281559,230577,158648,105130,57080,64841
,....City of Manila,1846513,169275,166305,158577,157770,181027,178784,155850,133781,119221,101870,92711,76035,61103,40846,26818,12938,13602,918643,87422,86206,81657,79942,90893,90344,80241,67844,59753,50560,44618,35629,27505,17480,10563,4452,3534,927870,81853,80099,76920,77828,90134,88440,75609,65937,59468,51310,48093,40406,33598,23366,16255,8486,10068
,....City of Mandaluyong,425758,38660,36697,34556,31490,43835,46209,39330,33001,28304,23716,20232,16390,12996,8772,5793,2942,2835,209013,19973,18721,17753,15862,21696,23171,19868,16365,14035,11568,9582,7342,5582,3595,2171,992,737,216745,18687,17976,16803,15628,22139,23038,19462,16636,14269,12148,10650,9048,7414,5177,3622,1950,2098
,....City of Marikina,456059,42164,42327,41265,38423,40964,40636,36508,32401,29822,26360,23434,19148,15801,11171,7419,3789,4427,226189,21808,21934,21502,19605,20686,20303,18606,16059,14799,12710,11256,9045,7281,4816,3009,1357,1413,229870,20356,20393,19763,18818,20278,20333,17902,16342,15023,13650,12178,10103,8520,6355,4410,2432,3014
,....City of Pasig,803159,81168,78038,71014,65702,72236,76678,71801,62525,54119,43985,37004,29271,23402,15962,10223,5029,5002,398811,41784,40420,36889,33289,35936,38111,36306,31552,26894,21675,17757,13618,10349,6676,4246,1774,1535,404348,39384,37618,34125,32413,36300,38567,35495,30973,27225,22310,19247,15653,13053,9286,5977,3255,3467
,....Quezon City,2960048,291246,276602,258587,242000,275540,277852,253250,220352,195936,166339,146739,119890,94493,61637,37992,19925,21668,1471795,150043,143243,134265,122666,138255,140263,129117,110813,97025,81606,70154,55865,42848,26784,15431,7170,6247,1488253,141203,133359,124322,119334,137285,137589,124133,109539,98911,84733,76585,64025,51645,34853,22561,12755,15421
,....City of San Juan,126347,10696,10059,9611,8966,11756,11645,10954,9772,8977,7741,6915,6040,4829,3376,2286,1237,1487,61222,5503,5200,5058,4573,5728,5711,5457,4795,4294,3716,3312,2693,2065,1360,960,383,414,65125,5193,4859,4553,4393,6028,5934,5497,4977,4683,4025,3603,3347,2764,2016,1326,854,1073
,....City of Caloocan,1661584,167269,164484,156994,149975,158387,152889,135349,119025,105898,89491,79421,63983,49830,31335,18958,9481,8815,837899,87003,85680,80821,76925,79984,77689,69481,60490,53479,45097,39275,30718,23558,14057,7669,3390,2583,823685,80266,78804,76173,73050,78403,75200,65868,58535,52419,44394,40146,33265,26272,17278,11289,6091,6232
,....City of Malabon,380522,35986,36534,35823,34493,36974,34532,30467,27037,24764,20969,18217,15027,11968,7821,5075,2414,2421,192566,18638,19033,18540,17742,18807,17782,15833,13719,12564,10628,9089,7353,5570,3518,2130,911,709,187956,17348,17501,17283,16751,18167,16750,14634,13318,12200,10341,9128,7674,6398,4303,2945,1503,1712
,....City of Navotas,247543,25338,25716,24387,23157,23449,21495,19208,16910,15592,13222,11433,9450,7373,4933,3069,1513,1298,126440,13151,13545,12531,11896,12043,11072,10028,8650,8103,6853,5725,4756,3634,2284,1213,568,388,121103,12187,12171,11856,11261,11406,10423,9180,8260,7489,6369,5708,4694,3739,2649,1856,945,910
,....City of Valenzuela,714978,66787,65224,65994,62772,69784,69004,62771,54810,48897,39502,32955,26238,20033,13676,8385,4151,3995,364119,34607,33947,34162,32037,35957,35875,32913,28303,25044,20122,16509,12794,9525,6119,3500,1528,1177,350859,32180,31277,31832,30735,33827,33129,29858,26507,23853,19380,16446,13444,10508,7557,4885,2623,2818
,....City of Las Piñas,606293,55383,55201,52619,50753,57951,56552,52003,46275,41640,34677,29343,23675,19277,13600,8859,4396,4089,301241,28615,28705,27229,25843,29278,28474,26393,22911,20462,17109,14011,10965,8654,5949,3709,1657,1277,305052,26768,26496,25390,24910,28673,28078,25610,23364,21178,17568,15332,12710,10623,7651,5150,2739,2812
,....City of Makati,629616,52781,47946,45475,42940,56905,66246,64133,52730,43207,35790,32104,28022,24244,15978,9967,5041,6107,308003,26913,24778,23568,21772,27830,32979,32754,26255,21306,17190,14889,12718,10729,6783,3979,1766,1794,321613,25868,23168,21907,21168,29075,33267,31379,26475,21901,18600,17215,15304,13515,9195,5988,3275,4313
,....City of Muntinlupa,543445,48136,46334,44074,44014,48654,50360,47913,44123,39589,33328,28463,22771,18459,12433,7664,3703,3427,279618,24980,23928,22638,22373,24787,26049,25334,23634,21177,17713,14923,11460,8879,5740,3415,1493,1095,263827,23156,22406,21436,21641,23867,24311,22579,20489,18412,15615,13540,11311,9580,6693,4249,2210,2332
,....City of Parañaque,689992,65208,60708,57225,52358,62282,65648,63457,55756,48318,39928,34450,27640,22243,14763,9591,5081,5336,342331,33412,31415,29645,26641,31394,33419,32648,27868,24154,19334,16082,12549,9919,6361,3935,1864,1691,347661,31796,29293,27580,25717,30888,32229,30809,27888,24164,20594,18368,15091,12324,8402,5656,3217,3645
,....Pasay City,440656,33053,34729,34458,34309,49923,52833,43251,35477,29598,23544,20439,16166,12573,8734,5729,2887,2953,219940,17056,17858,17643,17142,25108,26672,22233,18362,15038,11718,9971,7652,5596,3805,2274,956,856,220716,15997,16871,16815,17167,24815,26161,21018,17115,14560,11826,10468,8514,6977,4929,3455,1931,2097
,....City of Taguig,886722,90831,85148,80925,74412,88436,91599,82511,68942,57971,45223,37541,29870,22996,14717,8308,3862,3430,447528,47031,44210,41774,37648,44310,46607,42600,35283,29698,22773,18339,14278,10548,6638,3403,1414,974,439194,43800,40938,39151,36764,44126,44992,39911,33659,28273,22450,19202,15592,12448,8079,4905,2448,2456
,....Pateros,65227,5846,5934,5869,5417,5959,5928,5643,4850,4336,3671,3310,2674,2145,1541,1008,561,535,32512,3017,3070,3049,2778,2976,2991,2905,2425,2181,1810,1622,1296,946,682,407,195,162,32715,2829,2864,2820,2639,2983,2937,2738,2425,2155,1861,1688,1378,1199,859,601,366,373
,..CORDILLERA ADMINISTRATIVE REGION (CAR),1797660,158464,171064,175884,179108,175777,160378,140734,122366,104821,88881,82056,71214,58935,42543,27245,16740,21450,922508,81976,89273,90649,91532,90495,83624,73972,64763,55145,46551,42148,36204,29084,20331,12269,6866,7626,875152,76488,81791,85235,87576,85282,76754,66762,57603,49676,42330,39908,35010,29851,22212,14976,9874,13824
,....Abra,250985,19827,24131,25178,25392,21124,19932,18116,16678,14909,12669,12150,10962,9852,7413,4984,3088,4580,128196,10329,12531,12972,13064,10983,10376,9422,8785,7882,6569,6319,5517,4916,3520,2207,1217,1587,122789,9498,11600,12206,12328,10141,9556,8694,7893,7027,6100,5831,5445,4936,3893,2777,1871,2993
,....Apayao,124366,11170,12089,13019,12491,11709,10192,8794,8022,7347,6751,5755,5048,4218,2963,1954,1250,1594,64557,5825,6375,6814,6404,6072,5411,4689,4223,3881,3558,3086,2618,2118,1428,892,555,608,59809,5345,5714,6205,6087,5637,4781,4105,3799,3466,3193,2669,2430,2100,1535,1062,695,986
,....Benguet *,460683,44611,44619,43779,43915,45216,42639,38392,32752,26949,22018,20405,17767,14122,9645,5958,3701,4195,239412,22971,23241,22428,22421,23333,22569,20579,17675,14456,11842,10678,9380,7224,4770,2747,1575,1523,221271,21640,21378,21351,21494,21883,20070,17813,15077,12493,10176,9727,8387,6898,4875,3211,2126,2672
,....Ifugao,207498,20430,21922,22248,21250,19816,18433,15768,13250,11384,9491,8418,7267,6039,4687,2839,1697,2559,107985,10540,11484,11396,10920,10267,9756,8447,7301,6201,5237,4369,3744,2954,2321,1362,708,978,99513,9890,10438,10852,10330,9549,8677,7321,5949,5183,4254,4049,3523,3085,2366,1477,989,1581
,....Kalinga,229570,22223,23627,24184,24218,22563,19870,16897,14085,12556,10927,9858,8289,6956,5189,3386,2174,2568,118734,11519,12264,12610,12392,11651,10405,9123,7518,6713,5678,5032,4297,3391,2588,1574,952,1027,110836,10704,11363,11574,11826,10912,9465,7774,6567,5843,5249,4826,3992,3565,2601,1812,1222,1541
,....Mountain Province,158200,13607,15809,16721,16812,14685,13183,11728,9726,8473,7500,7215,6377,5353,4038,2649,1830,2494,82274,7058,8263,8664,8675,7848,7026,6206,5237,4518,4023,3919,3331,2731,2023,1155,751,846,75926,6549,7546,8057,8137,6837,6157,5522,4489,3955,3477,3296,3046,2622,2015,1494,1079,1648
,....City of Baguio,366358,26596,28867,30755,35030,40664,36129,31039,27853,23203,19525,18255,15504,12395,8608,5475,3000,3460,181350,13734,15115,15765,17656,20341,18081,15506,14024,11494,9644,8745,7317,5750,3681,2332,1108,1057,185008,12862,13752,14990,17374,20323,18048,15533,13829,11709,9881,9510,8187,6645,4927,3143,1892,2403
,..REGION I (ILOCOS REGION),5301139,479917,499613,514741,501884,463796,422818,380740,357248,324662,286913,264095,226610,190179,141470,104558,65510,76385,2687491,248735,260004,267358,259213,239327,217967,195979,183649,167603,147841,134718,113452,92627,65348,44468,24767,24435,2613648,231182,239609,247383,242671,224469,204851,184761,173599,157059,139072,129377,113158,97552,76122,60090,40743,51950
,....Ilocos Norte,609588,46568,49231,55261,54061,52276,48389,45544,44280,39544,35421,33428,28379,23701,18091,13401,9753,12260,306830,24062,25724,28780,28024,27102,24652,23386,22925,20360,18134,16869,13910,11263,8159,5606,3768,4106,302758,22506,23507,26481,26037,25174,23737,22158,21355,19184,17287,16559,14469,12438,9932,7795,5985,8154
,....Ilocos Sur,706009,53050,60014,65788,64584,59253,56544,51408,49895,45931,39939,37384,33263,27704,21505,15189,10641,13917,357026,27619,31235,34008,33364,30744,29281,26571,25714,23878,20616,19265,16753,13461,9820,6411,3876,4410,348983,25431,28779,31780,31220,28509,27263,24837,24181,22053,19323,18119,16510,14243,11685,8778,6765,9507
,....La Union,822352,67913,72665,75521,75169,72716,67261,61199,57510,51841,45483,42722,37649,32231,23578,16886,9742,12266,416270,35215,37901,39176,38830,37500,34611,31397,29583,26693,23427,21835,18786,15656,10915,7162,3726,3857,406082,32698,34764,36345,36339,35216,32650,29802,27927,25148,22056,20887,18863,16575,12663,9724,6016,8409
,....Pangasinan,3163190,312386,317703,318171,308070,279551,250624,222589,205563,187346,166070,150561,127319,106543,78296,59082,35374,37942,1607365,161839,165144,165394,158995,143981,129423,114625,105427,96672,85664,76749,64003,52247,36454,25289,13397,12062,1555825,150547,152559,152777,149075,135570,121201,107964,100136,90674,80406,73812,63316,54296,41842,33793,21977,25880
,..REGION II (CAGAYAN VALLEY),3685744,330685,361018,366748,346208,330729,305415,273296,244863,229559,200146,179805,158618,131229,93741,58781,34143,40760,1879118,170477,187828,189092,178346,170243,157083,141594,127077,119291,104074,92265,80283,64707,44099,25553,13390,13716,1806626,160208,173190,177656,167862,160486,148332,131702,117786,110268,96072,87540,78335,66522,49642,33228,20753,27044
,....Batanes,18831,1342,1518,1656,1802,1647,1553,1331,1228,1218,1206,1039,903,684,561,387,318,438,9769,684,828,863,928,901,883,722,646,676,628,552,476,327,262,160,115,118,9062,658,690,793,874,746,670,609,582,542,578,487,427,357,299,227,203,320
,....Cagayan,1268603,109780,123765,126101,118821,115263,104335,92098,83379,77639,68511,61405,55650,47176,34171,21137,12835,16537,642729,56867,64474,65119,61193,59212,53332,47275,42794,39913,35455,31185,27876,22718,15877,8955,4957,5527,625874,52913,59291,60982,57628,56051,51003,44823,40585,37726,33056,30220,27774,24458,18294,12182,7878,11010
,....Isabela,1697050,154636,164977,168999,158444,151404,141897,127663,112769,107524,93337,84014,72891,59109,41641,26317,15034,16394,864760,79427,85707,87166,81713,77618,72704,66038,58263,55784,48436,42949,36998,29453,19565,11518,5862,5559,832290,75209,79270,81833,76731,73786,69193,61625,54506,51740,44901,41065,35893,29656,22076,14799,9172,10835
,....Nueva Vizcaya,497432,46072,50149,48788,47369,44272,40795,37142,33655,30446,26059,23859,20957,17479,12611,8023,4272,5484,256232,23838,26103,25020,24248,23098,21279,19622,18025,16184,13703,12501,10718,8746,6005,3573,1735,1834,241200,22234,24046,23768,23121,21174,19516,17520,15630,14262,12356,11358,10239,8733,6606,4450,2537,3650
,....Quirino,203828,18855,20609,21204,19772,18143,16835,15062,13832,12732,11033,9488,8217,6781,4757,2917,1684,1907,105628,9661,10716,10924,10264,9414,8885,7937,7349,6734,5852,5078,4215,3463,2390,1347,721,678,98200,9194,9893,10280,9508,8729,7950,7125,6483,5998,5181,4410,4002,3318,2367,1570,963,1229
,..REGION III (CENTRAL LUZON),12422172,1189025,1212391,1218816,1154597,1156224,1057220,935195,845574,781071,667906,610831,497681,403317,282716,193782,106346,109480,6300189,615231,631437,631564,593876,593274,541255,478107,429002,398314,340960,308902,248821,196377,131733,84281,41742,35313,6121983,573794,580954,587252,560721,562950,515965,457088,416572,382757,326946,301929,248860,206940,150983,109501,64604,74167
,....Aurora,235750,23603,25017,25460,23824,21306,18735,16864,14518,13335,12468,11054,9246,7521,5308,3448,2043,2000,120954,12135,13004,13200,12185,10981,9645,8788,7574,6909,6460,5779,4906,3758,2575,1546,833,676,114796,11468,12013,12260,11639,10325,9090,8076,6944,6426,6008,5275,4340,3763,2733,1902,1210,1324
,....Bataan,853373,85731,85490,84430,78062,79441,71540,64309,59064,53252,43943,40345,33930,28666,20103,12960,5899,6208,431839,44160,44333,43729,40251,41237,36536,32915,29811,26858,22268,20011,16641,13728,9212,5792,2347,2010,421534,41571,41157,40701,37811,38204,35004,31394,29253,26394,21675,20334,17289,14938,10891,7168,3552,4198
,....Bulacan,3708890,346709,358816,362184,341838,349780,321451,282765,259439,241921,202102,183863,147289,117869,81532,53806,28727,28799,1877619,180284,187566,187391,175308,179055,165139,144572,131312,122892,102202,92845,72570,56319,37389,22689,10984,9102,1831271,166425,171250,174793,166530,170725,156312,138193,128127,119029,99900,91018,74719,61550,44143,31117,17743,19697
,....Nueva Ecija,2310134,222532,227600,228610,212488,205314,191693,168163,154122,143591,125934,116691,96943,78413,54963,36939,22754,23384,1171914,114951,118672,118713,109211,105367,98164,86030,78330,73600,64371,59319,48750,38468,25898,15875,8844,7351,1138220,107581,108928,109897,103277,99947,93529,82133,75792,69991,61563,57372,48193,39945,29065,21064,13910,16033
,....Pampanga *,2437709,230666,229819,234564,230651,234572,211150,186139,165980,155012,131315,120216,95442,77100,54007,38764,20805,21507,1240359,119071,119066,121837,118776,120564,108188,95295,84475,79271,67460,61022,48257,38126,25677,17406,8496,7372,1197350,111595,110753,112727,111875,114008,102962,90844,81505,75741,63855,59194,47185,38974,28330,21358,12309,14135
,....Tarlac,1503456,147425,152170,152410,140022,133356,121889,108689,98495,90979,80927,73553,60803,50037,35934,26141,14882,15744,766223,76233,79507,79157,72482,68983,62944,55834,50394,46801,41826,37306,30810,24684,16816,11472,5873,5101,737233,71192,72663,73253,67540,64373,58945,52855,48101,44178,39101,36247,29993,25353,19118,14669,9009,10643
,....Zambales *,649615,59914,65386,65448,61625,57522,51151,48256,43272,38423,34200,32500,27597,22860,16458,11770,6279,6954,329695,31199,34079,33652,31945,29618,26250,24740,21940,19615,17584,16493,13908,11265,7662,5189,2420,2136,319920,28715,31307,31796,29680,27904,24901,23516,21332,18808,16616,16007,13689,11595,8796,6581,3859,4818
,....City of Angeles,462928,49742,45037,42530,41832,47780,45425,38811,33074,28688,22698,19832,15837,12519,8203,5529,2685,2706,231679,25374,23289,21963,21244,23667,22160,19182,16450,14518,11556,9816,7924,6119,3846,2538,1108,925,231249,24368,21748,20567,20588,24113,23265,19629,16624,14170,11142,10016,7913,6400,4357,2991,1577,1781
,....City of Olongapo,260317,22703,23056,23180,24255,27153,24186,21199,17610,15870,14319,12777,10594,8332,6208,4425,2272,2178,129907,11824,11921,11922,12474,13802,12229,10751,8716,7850,7233,6311,5055,3910,2658,1774,837,640,130410,10879,11135,11258,11781,13351,11957,10448,8894,8020,7086,6466,5539,4422,3550,2651,1435,1538
,..REGION IV-A (CALABARZON),16195042,1553295,1572079,1550453,1474716,1511748,1433847,1299787,1183643,1066537,873461,760023,620045,500453,344340,217671,117824,115120,8157927,802193,816530,801532,757016,771183,727707,663060,597645,539262,442550,377602,302413,237139,154973,90165,42958,33999,8037115,751102,755549,748921,717700,740565,706140,636727,585998,527275,430911,382421,317632,263314,189367,127506,74866,81121
,....Batangas,2908494,275907,275430,274122,272757,278414,258252,222327,205927,185925,156494,136704,109361,90404,66029,45969,26339,28133,1464312,143031,143842,142390,140476,142002,130743,113055,103864,94493,79401,68457,53996,43187,29427,18456,9316,8176,1444182,132876,131588,131732,132281,136412,127509,109272,102063,91432,77093,68247,55365,47217,36602,27513,17023,19957
,....Cavite,4344829,401628,404867,400060,383093,408214,392983,367147,335404,298930,241479,208129,168756,132471,88110,55806,28760,28992,2181053,207721,210466,206632,196174,208118,199845,186641,168443,149427,121005,102093,81039,61695,39435,23073,10543,8703,2163776,193907,194401,193428,186919,200096,193138,180506,166961,149503,120474,106036,87717,70776,48675,32733,18217,20289
,....Laguna,3382193,312103,316735,309422,290445,319606,321848,288495,259885,231792,182378,157220,128661,104978,71946,42965,22586,21128,1699576,161531,164073,160138,149541,162088,162346,147183,130814,116750,92509,77716,61575,49316,32034,17766,8174,6022,1682617,150572,152662,149284,140904,157518,159502,141312,129071,115042,89869,79504,67086,55662,39912,25199,14412,15106
,....Quezon *,1950459,200900,210470,213205,196683,170507,148723,132415,119486,111908,99411,92277,78801,65111,46153,29299,17896,17214,993305,103419,109091,109905,101397,88437,76383,68203,61699,57981,51402,47243,40227,32096,21650,12424,6599,5149,957154,97481,101379,103300,95286,82070,72340,64212,57787,53927,48009,45034,38574,33015,24503,16875,11297,12065
,....Rizal,3330143,332966,335470,325087,304610,307939,288681,269529,245113,221576,179744,152940,123691,98898,66038,39965,20206,17690,1680239,171026,174068,167819,155702,156764,146435,137967,123803,112404,91267,75963,60314,46810,29794,17018,7650,5435,1649904,161940,161402,157268,148908,151175,142246,131562,121310,109172,88477,76977,63377,52088,36244,22947,12556,12255
,....City of Lucena,278924,29791,29107,28557,27128,27068,23360,19874,17828,16406,13955,12753,10775,8591,6064,3667,2037,1963,139442,15465,14990,14648,13726,13774,11955,10011,9022,8207,6966,6130,5262,4035,2633,1428,676,514,139482,14326,14117,13909,13402,13294,11405,9863,8806,8199,6989,6623,5513,4556,3431,2239,1361,1449
,..MIMAROPA REGION,3228558,332073,356218,357972,339057,295056,253990,220795,199894,181006,160250,140783,118630,97817,69766,47291,29082,28878,1652942,171928,184518,185084,173268,151978,130080,114084,104071,95121,84194,73062,60982,48828,33448,20944,11801,9551,1575616,160145,171700,172888,165789,143078,123910,106711,95823,85885,76056,67721,57648,48989,36318,26347,17281,19327
,....Marinduque,239207,23491,24763,26120,25057,19067,14994,14200,13461,13695,12457,12199,10342,9602,7432,5463,3496,3368,120592,12296,12834,13427,12898,10066,7655,7125,6848,7019,6377,6192,5102,4693,3437,2354,1311,958,118615,11195,11929,12693,12159,9001,7339,7075,6613,6676,6080,6007,5240,4909,3995,3109,2185,2410
,....Occidental Mindoro,525354,58036,61110,60345,55640,45930,39579,34793,32272,29451,26384,22755,18474,14798,10353,7183,4135,4116,271450,30104,31784,31440,28489,23696,20373,18259,16906,15721,13998,11991,9705,7484,5016,3228,1783,1473,253904,27932,29326,28905,27151,22234,19206,16534,15366,13730,12386,10764,8769,7314,5337,3955,2352,2643
,....Oriental Mindoro,908339,92542,98134,99792,93587,80329,71267,63044,56834,52588,46407,40892,34286,28696,20421,13537,7889,8094,460158,47837,51006,51320,47907,41077,36229,31977,29174,27143,23957,20819,17210,13913,9539,5654,2938,2458,448181,44705,47128,48472,45680,39252,35038,31067,27660,25445,22450,20073,17076,14783,10882,7883,4951,5636
,....Palawan *,939594,102336,111262,107516,100101,88696,76815,64916,58187,50501,43763,36541,31006,24605,17588,11734,7207,6820,488281,52993,57274,55603,51241,46137,39869,34074,30962,27169,23569,19552,16543,12689,8887,5751,3299,2669,451313,49343,53988,51913,48860,42559,36946,30842,27225,23332,20194,16989,14463,11916,8701,5983,3908,4151
,....Romblon,308985,27809,32183,34631,33756,27664,22025,19480,17595,16142,15594,15001,13298,11216,7904,5752,4411,4524,156429,14323,16740,18031,17329,14568,11341,10110,9054,8400,8070,7652,6626,5488,3538,2247,1641,1271,152556,13486,15443,16600,16427,13096,10684,9370,8541,7742,7524,7349,6672,5728,4366,3505,2770,3253
,....City of Puerto Princesa,307079,27859,28766,29568,30916,33370,29310,24362,21545,18629,15645,13395,11224,8900,6068,3622,1944,1956,156032,14375,14880,15263,15404,16434,14613,12539,11127,9669,8223,6856,5796,4561,3031,1710,829,722,151047,13484,13886,14305,15512,16936,14697,11823,10418,8960,7422,6539,5428,4339,3037,1912,1115,1234
,..REGION V (BICOL REGION),6082165,679109,697784,693684,666774,532158,440903,386835,346031,324535,285163,265586,224677,186288,137019,96271,60914,58434,3088836,351371,363396,359229,341971,274097,226065,200238,178712,166954,145365,134136,112401,90340,63197,40465,22912,17987,2993329,327738,334388,334455,324803,258061,214838,186597,167319,157581,139798,131450,112276,95948,73822,55806,38002,40447
,....Albay,1374768,138717,147831,150800,148960,123448,103156,90990,83046,77971,67447,62174,52574,43765,32606,23555,14146,13582,695486,71841,77227,78150,76277,63606,52795,46577,42657,39959,34055,31330,26155,20741,14974,9841,5278,4023,679282,66876,70604,72650,72683,59842,50361,44413,40389,38012,33392,30844,26419,23024,17632,13714,8868,9559
,....Camarines Norte,629699,73396,73286,70440,64643,54163,46237,41154,36296,33730,29713,28605,23861,19660,14073,9409,5747,5286,320396,38031,38155,36279,33093,27837,23612,21516,18640,17375,15261,14594,12099,9779,6566,3944,2094,1521,309303,35365,35131,34161,31550,26326,22625,19638,17656,16355,14452,14011,11762,9881,7507,5465,3653,3765
,....Camarines Sur,2068244,236648,236166,235547,228743,182003,150523,133978,118622,109984,94656,87448,74754,62385,46226,32243,19567,18751,1050560,122393,123058,121986,117312,93733,77350,69429,61351,56630,48070,44059,37137,30039,21294,13510,7381,5828,1017684,114255,113108,113561,111431,88270,73173,64549,57271,53354,46586,43389,37617,32346,24932,18733,12186,12923
,....Catanduanes,271879,29402,30670,30531,29894,23591,19364,16725,15172,14079,12944,12297,10532,8510,6367,4634,3407,3760,139170,15278,15849,15853,15619,12371,10099,8624,7943,7268,6801,6368,5434,4301,2947,1935,1306,1174,132709,14124,14821,14678,14275,11220,9265,8101,7229,6811,6143,5929,5098,4209,3420,2699,2101,2586
